rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
378,Erie Insurance Group,382,7535 ,7.40%,857.50 ,15.60%,20670 ,-,5260,Timothy G. NeCastro,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),15,Erie,PA,42.1292241,-80.085059
379,Hershey,369,7515 ,1.00%,783.00 ,8.70%,5554 ,20774 ,16135,Michele G. Buck,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,24,Hershey,PA,40.2859239,-76.6502468
380,PPL,365,7447 ,-0.90%,1128.00 ,-40.70%,41479 ,19635 ,12512,William H. Spence,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Allentown,PA,40.6022939,-75.4714098
381,Huntington Ingalls Industries,380,7441 ,5.30%,479.00 ,-16.40%,6374 ,11539 ,38000,C. Michael Petters,"President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,6,Newport News,VA,37.087082099999996,-76.4730122
382,Mosaic,377,7409 ,3.40%,(107.20),-136.00%,18633 ,9358 ,8500,James C. O'Rourke,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,13,Plymouth,MN,45.01051939999999,-93.4555093
383,J.M. Smucker,346,7392 ,-5.40%,592.30 ,-14.00%,15640 ,14087 ,7140,Mark T. Smucker,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,8,Orrville,OH,40.843666299999995,-81.7640212
384,Delek US Holdings,480,7350 ,35.70%,288.80 ,-,5935 ,3416 ,3941,Ezra Uzi Yemin,"Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,4,Brentwood,TN,36.0331164,-86.7827772
385,Newmont Mining,328,7348 ,-12.30%,(98.00),-,20563 ,20853 ,12569,Gary J. Goldberg,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",15,Greenwood Village,CO,39.6172101,-104.95081409999999
386,Constellation Brands,408,7332 ,12.00%,1535.10 ,45.50%,18602 ,44379 ,8700,Robert S. Sands,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Beverages,6,Victor,NY,42.982563299999995,-77.40887940000002
387,Ryder System,394,7330 ,8.00%,790.60 ,201.20%,11452 ,3867 ,36100,Robert E. Sanchez,"Chairman, President &  Chief Executive Officer",Transportation,"Trucking, Truck Leasing",24,Miami,FL,25.7616798,-80.1917902
388,National Oilwell Varco,375,7304 ,0.70%,(237.00),-,20206 ,13993 ,31605,Clay C. Williams,"Chairman, President &  Chief Executive Officer",Energy,"Oil and Gas Equipment, Services",13,Houston,TX,29.7604267,-95.36980279999999
389,Adobe Systems,443,7302 ,24.70%,1694.00 ,44.90%,14536 ,106413 ,17973,Shantanu Narayen,"Chairman, President &  Chief Executive Officer",Technology,Computer Software,2,San Jose,CA,37.338208200000004,-121.88632859999998
390,LifePoint Health,374,7263 ,-0.10%,102.40 ,-16.00%,6286 ,1832 ,42000,William F. Carpenter III,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,4,Brentwood,TN,36.0331164,-86.7827772
391,Tractor Supply,396,7256 ,7.00%,422.60 ,-3.30%,2869 ,7807 ,21000,Gregory A. Sandfort,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,5,Brentwood,TN,36.0331164,-86.7827772
392,Thor Industries,540,7247 ,58.20%,374.30 ,45.90%,2558 ,6069 ,17800,Robert W. Martin,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,1,Elkhart,IN,41.6819935,-85.9766671
393,Dana,447,7209 ,23.70%,111.00 ,-82.70%,5644 ,3741 ,30100,James K. Kamsickas,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Maumee,OH,41.5628294,-83.6538244
394,Weyerhaeuser,341,7196 ,-8.90%,582.00 ,-43.30%,18059 ,26463 ,9300,Doyle R. Simons,"President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,24,Seattle,WA,47.6062095,-122.33207079999998
395,J.B. Hunt Transport Services,407,7190 ,9.70%,686.30 ,58.80%,4465 ,12858 ,24681,John N. Roberts III,"President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",6,Lowell,AR,36.25535429999999,-94.1307587
396,Darden Restaurants,385,7170 ,3.40%,479.10 ,27.80%,5504 ,10531 ,178729,Eugene I. Lee Jr.,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,22,Orlando,FL,28.5383355,-81.3792365
397,Yum China Holdings,399,7144 ,5.80%,403.00 ,-19.70%,4263 ,16009 ,450000,Joey Wat,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure",Food Services,2,Plano,TX,33.0198431,-96.6988856
398,Blackstone Group,503,7119 ,38.90%,1470.80 ,41.50%,34429 ,21058 ,2360,Stephen A. Schwarzman,Chairman &  Chief Executive Officer,Financials,Diversified Financials,3,New York,NY,40.7127753,-74.0059728
399,Berry Global Group,413,7095 ,9.30%,340.00 ,44.10%,8476 ,7191 ,23000,Thomas E. Salmon,Chairman &  Chief Executive Officer,Materials,"Packaging, Containers",2,Evansville,IN,37.9715592,-87.5710898
400,Builders FirstSource,421,7034 ,10.50%,38.80 ,-73.10%,3006 ,2264 ,15000,M. Chad Crow,"President, Chief Executive Officer &  Director",Materials,"Building Materials, Glass",2,Dallas,TX,32.7766642,-96.7969879
401,Activision Blizzard,406,7017 ,6.20%,273.00 ,-71.70%,18668 ,51177 ,9800,Robert A. Kotick,Chairman &  Chief Executive Officer,Technology,Entertainment,2,Santa Monica,CA,34.01945429999999,-118.4911912
402,JetBlue Airways,403,7015 ,5.80%,1147.00 ,51.10%,9781 ,6540 ,17424,Robin Hayes,"President, Chief Executive Officer &  Director",Transportation,Airlines,6,,NY,40.744679,-73.94854240000001
403,Amphenol,424,7011 ,11.50%,650.50 ,-21.00%,10004 ,26311 ,70000,R. Adam Norwitt,"President, Chief Executive Officer &  Director",Technology,Network and Other Communications Equipment,4,Wallingford,CT,41.45701079999999,-72.82307359999999
404,A-Mark Precious Metals,395,6990 ,3.00%,7.10 ,-23.60%,479 ,86 ,126,Gregory N. Roberts,Chairman &  Chief Executive Officer,Materials,Miscellaneous,4,El Segundo,CA,33.9191799,-118.4164652
405,Spirit AeroSystems Holdings,393,6983 ,2.80%,354.90 ,-24.40%,5268 ,9595 ,15500,Thomas C. Gentile III,"President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,4,Wichita,KS,37.6871761,-97.330053
406,R.R. Donnelley & Sons,388,6940 ,0.60%,(34.40),-,3905 ,612 ,42700,Daniel L. Knotts,"President, Chief Executive Officer &  Director",Media,"Publishing, Printing",24,Chicago,IL,41.8781136,-87.62979820000001
407,Harris,363,6939 ,-7.80%,553.00 ,70.70%,10090 ,19149 ,17000,William M. Brown,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,14,Melbourne,FL,28.0836269,-80.6081089
408,Expeditors Intl. of Washington,429,6921 ,13.50%,489.30 ,13.60%,3117 ,11087 ,16500,Jeffrey S. Musser,"President, Chief Executive Officer &  Director",Transportation,Transportation and Logistics,11,Seattle,WA,47.6062095,-122.33207079999998
409,Discovery,412,6873 ,5.80%,(337.00),-128.20%,22555 ,11156 ,7000,David M. Zaslav,"President, Chief Executive Officer &  Director",Media,Entertainment,5,Silver Spring,MD,38.9906657,-77.026088
410,Owens-Illinois,401,6869 ,2.50%,180.00 ,-13.90%,9756 ,3538 ,26500,Andres A. Lopez,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",24,Perrysburg,OH,41.556996000000005,-83.627157
411,Sanmina,414,6869 ,6.00%,138.80 ,-26.10%,3847 ,1863 ,41250,Robert K. Eulau,Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,18,San Jose,CA,37.338208200000004,-121.88632859999998
412,KeyCorp,479,6868 ,26.70%,1296.00 ,63.80%,137698 ,20570 ,18415,Beth E. Mooney,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,20,Cleveland,OH,41.499320000000004,-81.6943605
413,American Financial Group,411,6865 ,5.60%,475.00 ,-26.80%,60658 ,9923 ,7600,Carl H. Lindner lll/S. Craig Lindner,"President, Co-Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),19,Cincinnati,OH,39.103118200000004,-84.5120196
414,Oshkosh,425,6830 ,8.80%,285.60 ,32.00%,5099 ,5768 ,14000,Wilson R. Jones,"President, Chief Executive Officer &  Director",Industrials,Construction and Farm Machinery,11,Oshkosh,WI,44.024706200000004,-88.5426136
415,Rockwell Collins,492,6822 ,29.70%,705.00 ,-3.20%,17997 ,22108 ,29000,Robert K. Ortberg,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,7,Cedar Rapids,IA,41.9778795,-91.66562320000001
416,Kindred Healthcare,376,6768 ,-6.40%,(698.40),-,5233 ,836 ,64200,Benjamin A. Breier,"President, Chief Executive Officer &  Director",Health Care,Health Care: Medical Facilities,15,Louisville,KY,38.252664700000004,-85.7584557
417,Insight Enterprises,473,6704 ,22.20%,90.70 ,7.10%,2686 ,1252 ,6697,Kenneth T. Lamneck,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,10,Tempe,AZ,33.4255104,-111.9400054
418,Dr Pepper Snapple Group,416,6690 ,3.90%,1076.00 ,27.00%,10022 ,21278 ,21000,Larry D. Young,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,10,Plano,TX,33.0198431,-96.6988856
419,American Tower,449,6664 ,15.20%,1238.90 ,29.50%,33214 ,64073 ,4752,James D. Taiclet Jr.,"Chairman, President &  Chief Executive Officer",Financials,Real estate,2,Boston,MA,42.360082500000004,-71.0588801
420,Fortive,,6656 ,-,1044.50 ,-,10501 ,26979 ,26000,James A. Lico,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,1,Everett,WA,47.9789848,-122.2020795
421,Ralph Lauren,371,6653 ,-10.20%,(99.30),-125.10%,5652 ,9088 ,18250,Patrice Louvet,"President, Chief Executive Officer &  Director",Apparel,Apparel,10,New York,NY,40.7127753,-74.0059728
422,HRG Group,418,6650 ,3.90%,106.00 ,-,35850 ,3328 ,17113,Joseph S. Steinberg,Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,5,New York,NY,40.7127753,-74.0059728
423,Ascena Retail Group,384,6650 ,-4.90%,(1067.30),-,3872 ,394 ,40000,David R. Jaffe,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,2,Mahwah,NJ,41.0886216,-74.1435843
424,United Rentals,452,6641 ,15.30%,1346.00 ,137.80%,15030 ,14537 ,14800,Michael J. Kneeland,Chairman &  Chief Executive Officer,Business Services,Miscellaneous,5,Stamford,CT,41.0534302,-73.53873409999999
425,Caseys General Stores,423,6641 ,5.30%,177.50 ,-21.50%,3020 ,4120 ,25463,Terry W. Handley,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,8,Ankeny,IA,41.7317884,-93.6001278
426,Graybar Electric,420,6631 ,3.90%,71.60 ,-23.10%,2261 ,-,8500,Kathleen M. Mazzarella,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Diversified,24,St. Louis,MO,38.6270025,-90.1994042
427,Avery Dennison,430,6614 ,8.70%,281.80 ,-12.10%,5137 ,9361 ,30000,Mitchell R. Butier,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",24,Glendale,CA,34.1425078,-118.255075
428,MasTec,502,6607 ,28.70%,347.20 ,164.50%,4067 ,3874 ,17300,Jose R. Mas,Chief Executive Officer,Engineering &  Construction,"Engineering, Construction",1,Coral Gables,FL,25.72149,-80.2683838
429,CMS Energy,419,6583 ,2.90%,460.00 ,-16.50%,23050 ,12793 ,7887,Patricia K. Poppe,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Jackson,MI,42.245869,-84.4013462
430,HD Supply Holdings,364,6534 ,-13.20%,970.00 ,394.90%,4318 ,7040 ,11000,Joseph J. DeAngelo,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Diversified,6,Atlanta,GA,33.7489954,-84.3879824
431,Raymond James Financial,469,6525 ,18.20%,636.20 ,20.20%,34884 ,13019 ,12700,Paul C. Reilly,Chairman &  Chief Executive Officer,Financials,Securities,3,St. Petersburg,FL,27.767600800000004,-82.6402915
432,NCR,409,6516 ,-0.40%,232.00 ,-14.10%,7654 ,3737 ,34000,Michael D. Hayford,Chief Executive Officer &  Director,Technology,"Computers, Office Equipment",21,Atlanta,GA,33.7489954,-84.3879824
433,Hanesbrands,432,6478 ,6.90%,61.90 ,-88.50%,6895 ,6638 ,67200,Gerald W. Evans Jr.,Chairman &  Chief Executive Officer,Apparel,Apparel,4,Winston-Salem,NC,36.0998596,-80.24421600000001
434,Asbury Automotive Group,410,6457 ,-1.10%,139.10 ,-16.80%,2357 ,1412 ,8000,David W. Hult,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",12,Duluth,GA,34.0028786,-84.1446376
435,Citizens Financial Group,451,6454 ,12.00%,1652.00 ,58.10%,152336 ,20474 ,17594,Bruce W. Van Saun,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,3,Providence,RI,41.8239891,-71.4128343
436,Packaging Corp. of America,450,6445 ,11.50%,668.60 ,48.70%,6198 ,10633 ,14600,Mark W. Kowlzan,Chairman &  Chief Executive Officer,Materials,"Packaging, Containers",4,Lake Forest,IL,42.2586342,-87.840625
437,Alleghany,428,6425 ,4.80%,90.10 ,-80.30%,25384 ,9460 ,4402,Weston M. Hicks,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),4,New York,NY,40.7127753,-74.0059728
438,Apache,488,6423 ,20.00%,1304.00 ,-,21922 ,14678 ,3356,John J. Christmann IV,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",15,Houston,TX,29.7604267,-95.36980279999999
439,Dillards,417,6423 ,0.10%,221.30 ,30.80%,3673 ,2289 ,31400,William T. Dillard II,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Little Rock,AR,34.7464809,-92.2895948
440,Assurant,361,6415 ,-14.80%,519.60 ,-8.10%,31843 ,4803 ,14175,Alan B. Colberg,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),14,New York,NY,40.7127753,-74.0059728
441,Franklin Resources,405,6392 ,-3.40%,1696.70 ,-1.70%,17534 ,19133 ,9386,Gregory E. Johnson,Chairman &  Chief Executive Officer,Financials,Securities,13,San Mateo,CA,37.562991700000005,-122.32552539999999
442,Owens Corning,458,6384 ,12.50%,289.00 ,-26.50%,8632 ,8982 ,17000,Michael H. Thaman,"Chairman, President &  Chief Executive Officer",Materials,"Building Materials, Glass",24,Toledo,OH,41.6528052,-83.53786740000001
443,Motorola Solutions,433,6380 ,5.70%,(155.00),-127.70%,8208 ,17027 ,15000,Gregory Q. Brown,Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,24,Chicago,IL,41.8781136,-87.62979820000001
444,NVR,446,6322 ,8.40%,537.50 ,26.40%,2989 ,10262 ,5200,Paul C. Saville,"President, Chief Executive Officer &  Director",Engineering &  Construction,Homebuilders,9,Reston,VA,38.9586307,-77.35700279999999
445,Rockwell Automation,442,6311 ,7.30%,825.70 ,13.20%,7162 ,22260 ,22000,Blake D. Moret,"Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",24,Milwaukee,WI,43.0389025,-87.9064736
446,TreeHouse Foods,427,6307 ,2.10%,(286.20),-,5779 ,2159 ,13489,Steven Oakland,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,2,Oak Brook,IL,41.8397865,-87.9535534
447,Wynn Resorts,548,6306 ,41.20%,747.20 ,208.80%,12682 ,19778 ,25200,Matthew O. Maddox,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",5,Las Vegas,NV,36.169941200000004,-115.13982959999998
448,Olin,467,6268 ,12.90%,549.50 ,-,9218 ,5081 ,6400,John E. Fischer,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,5,Clayton,MO,38.6425518,-90.32372629999999
449,American Axle & Manufacturing,593,6266 ,58.70%,337.10 ,40.00%,7883 ,1699 ,25000,David C. Dauch,Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,4,Detroit,MI,42.331427000000005,-83.0457538
450,Old Republic International,439,6263 ,6.10%,560.50 ,20.00%,19404 ,5778 ,8700,Aldo C. Zucaro,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),7,Chicago,IL,41.8781136,-87.62979820000001
451,Chemours,482,6183 ,14.50%,746.00 ,10557.10%,7293 ,8840 ,7000,Mark P. Vergnano,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,2,Wilmington,DE,39.7390721,-75.5397878
452,iHeartMedia,426,6178 ,-1.50%,(704.40),-,12257 ,39 ,18700,Robert W. Pittman,Chairman &  Chief Executive Officer,Media,Entertainment,18,San Antonio,TX,29.4241219,-98.4936282
453,Ameren,431,6177 ,1.70%,523.00 ,-19.90%,25945 ,13740 ,8615,Warner L. Baxter,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,21,St. Louis,MO,38.6270025,-90.1994042
454,Arthur J. Gallagher,462,6160 ,10.10%,463.10 ,11.80%,12897 ,12512 ,26783,J. Patrick Gallagher Jr.,"Chairman, President &  Chief Executive Officer",Financials,Diversified Financials,3,Rolling Meadows,IL,42.0841936,-88.0131275
455,Celanese,484,6140 ,13.90%,843.00 ,-6.30%,9538 ,13611 ,7592,Mark C. Rohr,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,13,Irving,TX,32.814017699999994,-96.9488945
456,Sealed Air,397,6131 ,-9.60%,814.90 ,67.50%,5280 ,7162 ,15000,Edward L. Doheny II,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",21,Charlotte,NC,35.2270869,-80.8431267
457,UGI,457,6121 ,7.70%,436.60 ,19.70%,11582 ,7685 ,13000,John L. Walsh,"President, Chief Executive Officer &  Director",Energy,Energy,14,King of Prussia,PA,40.101285600000004,-75.38355250000001
458,Realogy Holdings,448,6114 ,5.20%,431.00 ,102.30%,7337 ,3568 ,11800,Ryan M. Schneider,"President, Chief Executive Officer &  Director",Financials,Real estate,8,Madison,NJ,40.7598227,-74.417097
459,Burlington Stores,463,6110 ,9.30%,384.90 ,78.30%,2813 ,9018 ,40000,Thomas A. Kingsbury,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,3,Burlington,NJ,40.071222,-74.8648873
460,Regions Financial,436,6093 ,2.10%,1263.00 ,8.60%,124294 ,20861 ,21714,O.B. Grayson Hall Jr.,Chairman &  Chief Executive Officer,Financials,Commercial Banks,20,Birmingham,AL,33.5206608,-86.80249
461,AK Steel Holding,441,6081 ,3.40%,6.20 ,-,4296 ,1428 ,9200,Roger K. Newport,Chairman &  Chief Executive Officer,Materials,Metals,18,Beckett Ridge,OH,39.332126200000005,-84.41726659999999
462,Securian Financial Group,532,6067 ,27.00%,418.90 ,68.70%,51232 ,-,5000,Christopher M. Hilger,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",1,St Paul,MN,44.953702899999996,-93.0899578
463,S& P Global,459,6063 ,7.10%,1496.00 ,-29.00%,9425 ,47643 ,20400,Douglas L. Peterson,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,24,New York,NY,40.7127753,-74.0059728
464,Markel,460,6062 ,8.00%,395.30 ,-13.30%,32805 ,16264 ,15600,Thomas S. Gayner/Richard R. Whitt III,Co-Chief Executive Officer &  Director,Financials,Insurance: Property and Casualty (Stock),3,Glen Allen,VA,37.665978,-77.5063739
465,TravelCenters of America,470,6052 ,9.80%,9.30 ,-,1618 ,144 ,19611,Andrew J. Rebholz,Chief Executive Officer &  Director,Retailing,Specialty Retailers: Other,11,Westlake,OH,41.4553232,-81.9179173
466,Conduent,,6022 ,-,181.00 ,-,7548 ,3923 ,90000,Ashok Vemuri,Chairman &  Chief Executive Officer,Business Services,Diversified Outsourcing Services,1,Florham Park,NJ,40.787878000000006,-74.38820720000001
467,M& T Bank Corp.,455,6019 ,5.20%,1408.30 ,7.10%,118594 ,27379 ,16354,Renï¿½ F. Jones,Chairman &  Chief Executive Officer,Financials,Commercial Banks,3,Buffalo,NY,42.8864468,-78.8783689
468,Clorox,453,5973 ,3.70%,701.00 ,8.20%,4573 ,17225 ,8100,Benno O. Dorer,Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,19,Oakland,CA,37.8043637,-122.27111370000002
